Id,Labels
SA_Ta_01,Positive
SA_Ta_02,unknown_state
SA_Ta_03,unknown_state
SA_Ta_04,Mixed_feelings
SA_Ta_05,Negative
SA_Ta_06,Positive
SA_Ta_07,Negative
SA_Ta_08,Positive
SA_Ta_09,Positive
SA_Ta_10,Positive
SA_Ta_11,Negative
SA_Ta_12,Mixed_feelings
SA_Ta_13,unknown_state
SA_Ta_14,Positive
SA_Ta_15,unknown_state
SA_Ta_16,Positive
SA_Ta_17,unknown_state
SA_Ta_18,Mixed_feelings
SA_Ta_19,Mixed_feelings
SA_Ta_20,Mixed_feelings
SA_Ta_21,Mixed_feelings
SA_Ta_22,Positive
SA_Ta_23,unknown_state
SA_Ta_24,unknown_state
SA_Ta_25,Positive
SA_Ta_26,Positive
SA_Ta_27,Negative
SA_Ta_28,Mixed_feelings
SA_Ta_29,Negative
SA_Ta_30,Negative
SA_Ta_31,Mixed_feelings
SA_Ta_32,Mixed_feelings
SA_Ta_33,unknown_state
SA_Ta_34,Positive
SA_Ta_35,Positive
SA_Ta_36,Positive
SA_Ta_37,unknown_state
SA_Ta_38,Mixed_feelings
SA_Ta_39,Negative
SA_Ta_40,Positive
SA_Ta_41,Positive
SA_Ta_42,Negative
SA_Ta_43,Mixed_feelings
SA_Ta_44,Negative
SA_Ta_45,Mixed_feelings
SA_Ta_46,Positive
SA_Ta_47,Positive
SA_Ta_48,Mixed_feelings
SA_Ta_49,Mixed_feelings
SA_Ta_50,unknown_state
SA_Ta_51,Positive
SA_Ta_52,unknown_state
SA_Ta_53,Mixed_feelings
SA_Ta_54,Mixed_feelings
SA_Ta_55,Negative
SA_Ta_56,Positive
SA_Ta_57,Positive
SA_Ta_58,unknown_state
SA_Ta_59,Positive
SA_Ta_60,unknown_state
SA_Ta_61,Positive
SA_Ta_62,Mixed_feelings
SA_Ta_63,Positive
SA_Ta_64,Negative
SA_Ta_65,unknown_state
SA_Ta_66,unknown_state
SA_Ta_67,unknown_state
SA_Ta_68,Positive
SA_Ta_69,Positive
SA_Ta_70,Positive
SA_Ta_71,Positive
SA_Ta_72,unknown_state
SA_Ta_73,Negative
SA_Ta_74,Positive
SA_Ta_75,Negative
SA_Ta_76,unknown_state
SA_Ta_77,unknown_state
SA_Ta_78,Negative
SA_Ta_79,Positive
SA_Ta_80,Positive
SA_Ta_81,Positive
SA_Ta_82,Positive
SA_Ta_83,Positive
SA_Ta_84,Positive
SA_Ta_85,Mixed_feelings
SA_Ta_86,Positive
SA_Ta_87,unknown_state
SA_Ta_88,Positive
SA_Ta_89,Positive
SA_Ta_90,unknown_state
SA_Ta_91,Negative
SA_Ta_92,Positive
SA_Ta_93,Positive
SA_Ta_94,Mixed_feelings
SA_Ta_95,Mixed_feelings
SA_Ta_96,Negative
SA_Ta_97,Mixed_feelings
SA_Ta_98,Positive
SA_Ta_99,Negative
SA_Ta_100,unknown_state
SA_Ta_101,Negative
SA_Ta_102,Negative
SA_Ta_103,Positive
SA_Ta_104,unknown_state
SA_Ta_105,Positive
SA_Ta_106,Mixed_feelings
SA_Ta_107,Positive
SA_Ta_108,Mixed_feelings
SA_Ta_109,Negative
SA_Ta_110,Negative
SA_Ta_111,unknown_state
SA_Ta_112,Mixed_feelings
SA_Ta_113,Positive
SA_Ta_114,unknown_state
SA_Ta_115,Positive
SA_Ta_116,Negative
SA_Ta_117,Positive
SA_Ta_118,unknown_state
SA_Ta_119,Positive
SA_Ta_120,unknown_state
SA_Ta_121,Positive
SA_Ta_122,Positive
SA_Ta_123,Positive
SA_Ta_124,Mixed_feelings
SA_Ta_125,Positive
SA_Ta_126,Positive
SA_Ta_127,Mixed_feelings
SA_Ta_128,Positive
SA_Ta_129,Mixed_feelings
SA_Ta_130,Mixed_feelings
SA_Ta_131,Positive
SA_Ta_132,Positive
SA_Ta_133,unknown_state
SA_Ta_134,Positive
SA_Ta_135,unknown_state
SA_Ta_136,Positive
SA_Ta_137,Positive
SA_Ta_138,Positive
SA_Ta_139,unknown_state
SA_Ta_140,Negative
SA_Ta_141,unknown_state
SA_Ta_142,unknown_state
SA_Ta_143,Mixed_feelings
SA_Ta_144,Positive
SA_Ta_145,Positive
SA_Ta_146,Positive
SA_Ta_147,Negative
SA_Ta_148,Positive
SA_Ta_149,unknown_state
SA_Ta_150,Positive
SA_Ta_151,Positive
SA_Ta_152,Positive
SA_Ta_153,Positive
SA_Ta_154,Positive
SA_Ta_155,Positive
SA_Ta_156,Mixed_feelings
SA_Ta_157,Positive
SA_Ta_158,Positive
SA_Ta_159,Mixed_feelings
SA_Ta_160,unknown_state
SA_Ta_161,Positive
SA_Ta_162,Negative
SA_Ta_163,Negative
SA_Ta_164,Negative
SA_Ta_165,Mixed_feelings
SA_Ta_166,Negative
SA_Ta_167,Mixed_feelings
SA_Ta_168,Positive
SA_Ta_169,unknown_state
SA_Ta_170,Positive
SA_Ta_171,unknown_state
SA_Ta_172,Positive
SA_Ta_173,Positive
SA_Ta_174,unknown_state
SA_Ta_175,Mixed_feelings
SA_Ta_176,Positive
SA_Ta_177,Negative
SA_Ta_178,unknown_state
SA_Ta_179,Negative
SA_Ta_180,unknown_state
SA_Ta_181,unknown_state
SA_Ta_182,unknown_state
SA_Ta_183,Positive
SA_Ta_184,Positive
SA_Ta_185,Positive
SA_Ta_186,Positive
SA_Ta_187,Mixed_feelings
SA_Ta_188,unknown_state
SA_Ta_189,Positive
SA_Ta_190,Mixed_feelings
SA_Ta_191,Mixed_feelings
SA_Ta_192,Negative
SA_Ta_193,Positive
SA_Ta_194,Positive
SA_Ta_195,Mixed_feelings
SA_Ta_196,Mixed_feelings
SA_Ta_197,Negative
SA_Ta_198,Positive
SA_Ta_199,Mixed_feelings
SA_Ta_200,Positive
SA_Ta_201,Positive
SA_Ta_202,Mixed_feelings
SA_Ta_203,Positive
SA_Ta_204,Mixed_feelings
SA_Ta_205,Positive
SA_Ta_206,unknown_state
SA_Ta_207,Positive
SA_Ta_208,Positive
SA_Ta_209,Positive
SA_Ta_210,Negative
SA_Ta_211,Mixed_feelings
SA_Ta_212,Positive
SA_Ta_213,Mixed_feelings
SA_Ta_214,Mixed_feelings
SA_Ta_215,Positive
SA_Ta_216,unknown_state
SA_Ta_217,Positive
SA_Ta_218,Mixed_feelings
SA_Ta_219,Positive
SA_Ta_220,Positive
SA_Ta_221,Negative
SA_Ta_222,Negative
SA_Ta_223,Mixed_feelings
SA_Ta_224,Positive
SA_Ta_225,unknown_state
SA_Ta_226,Mixed_feelings
SA_Ta_227,unknown_state
SA_Ta_228,unknown_state
SA_Ta_229,Positive
SA_Ta_230,Positive
SA_Ta_231,Positive
SA_Ta_232,Positive
SA_Ta_233,Mixed_feelings
SA_Ta_234,Mixed_feelings
SA_Ta_235,Positive
SA_Ta_236,unknown_state
SA_Ta_237,Negative
SA_Ta_238,unknown_state
SA_Ta_239,Negative
SA_Ta_240,Positive
SA_Ta_241,Negative
SA_Ta_242,unknown_state
SA_Ta_243,Positive
SA_Ta_244,unknown_state
SA_Ta_245,Positive
SA_Ta_246,unknown_state
SA_Ta_247,Positive
SA_Ta_248,Positive
SA_Ta_249,unknown_state
SA_Ta_250,unknown_state
SA_Ta_251,unknown_state
